"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"1","O","VVNB","APT","-","0 / 0","21.21974 / 105.80377","- / 0 nm","Hanoi Noibai Intl","https://flightplandatabase.com/plan/87005"
"2","•","PLK","NDB","-","0 / 0","36.62756 / -93.22991","7172  / 7172 nm","POINT LOOKOUT NDB","https://flightplandatabase.com/plan/87005"
"3","•","BMT","VOR","-","0 / 0","12.66650 / 108.12300","7612  / 14785 nm","BUON MA THUOT VOR-DME","https://flightplandatabase.com/plan/87005"
"4","O","VVTS","APT","-","0 / 0","10.81875 / 106.65173","140  / 14925 nm","TAN SON NHAT INTL","https://flightplandatabase.com/plan/87005"
"5","O","VVNB","APT","-","0 / 0","21.21974 / 105.80377","- / 0 nm","Hanoi Noibai Intl","https://flightplandatabase.com/plan/1203154"
"6","•","NL","NDB","-","32,400 / 9,876","22.36667 / 106.86667","90  / 90 nm","LONGZHOU NDB","https://flightplandatabase.com/plan/1203154"
"7","•","BSE","VOR","-","35,000 / 10,668","23.89500 / 106.64833","92  / 183 nm","BOSE VOR-DME","https://flightplandatabase.com/plan/1203154"
"8","•","KWE","VOR","-","35,000 / 10,668","26.52000 / 106.79500","157  / 341 nm","GUIYANG VOR-DME","https://flightplandatabase.com/plan/1203154"
"9","•","GORMO","FIX","W3 (AWY-LO)","35,000 / 10,668","27.19167 / 106.75667","40  / 381 nm","","https://flightplandatabase.com/plan/1203154"
"10","•","NIKUN","FIX","W3 (AWY-LO)","35,000 / 10,668","27.98833 / 106.71333","47  / 429 nm","","https://flightplandatabase.com/plan/1203154"
"11","•","QJG","VOR","W3 (AWY-LO)","35,000 / 10,668","29.04667 / 106.65333","63  / 493 nm","QIJIANG VOR-DME","https://flightplandatabase.com/plan/1203154"
"12","•","DS","NDB","-","35,000 / 10,668","30.20000 / 106.84500","69  / 563 nm","HELIUSHUI NDB","https://flightplandatabase.com/plan/1203154"
"13","•","ANSAR","FIX","W31 (AWY-LO)","35,000 / 10,668","30.65333 / 106.35500","37  / 600 nm","","https://flightplandatabase.com/plan/1203154"
"14","•","SUBUL","FIX","-","35,000 / 10,668","32.32833 / 106.71000","102  / 702 nm","","https://flightplandatabase.com/plan/1203154"
"15","•","NSH","VOR","G212 (AWY-LO)","35,000 / 10,668","33.31833 / 108.31167","100  / 803 nm","NINGSHAN VOR-DME","https://flightplandatabase.com/plan/1203154"
"16","•","ZS","NDB","G212 (AWY-LO)","35,000 / 10,668","34.22167 / 108.85333","60  / 863 nm","YANZHUANG NDB","https://flightplandatabase.com/plan/1203154"
"17","•","OD","NDB","G212 (AWY-LO)","35,000 / 10,668","34.59833 / 108.91667","22  / 886 nm","SANYUAN NDB","https://flightplandatabase.com/plan/1203154"
"18","•","YIJ","VOR","G212 (AWY-LO)","35,000 / 10,668","35.38000 / 109.10667","47  / 934 nm","YIJUN VOR-DME","https://flightplandatabase.com/plan/1203154"
"19","•","GUPAD","FIX","G212 (AWY-LO)","35,000 / 10,668","36.31167 / 110.47333","86  / 1021 nm","","https://flightplandatabase.com/plan/1203154"
"20","•","TYN","VOR","G212 (AWY-LO)","35,000 / 10,668","37.75167 / 112.62000","134  / 1155 nm","TAIYUAN VOR-DME","https://flightplandatabase.com/plan/1203154"
"21","•","NONIT","FIX","G212 (AWY-LO)","35,000 / 10,668","38.68000 / 113.93333","83  / 1239 nm","","https://flightplandatabase.com/plan/1203154"
"22","•","KR","NDB","G212 (AWY-LO)","35,000 / 10,668","39.14500 / 114.60000","41  / 1280 nm","NANCHENGZI NDB","https://flightplandatabase.com/plan/1203154"
"23","•","TZH","VOR","B458 (AWY-LO)","35,000 / 10,668","40.41167 / 114.05000","80  / 1361 nm","","https://flightplandatabase.com/plan/1203154"
"24","•","TMR","VOR","B458 (AWY-LO)","35,000 / 10,668","41.84500 / 113.15000","95  / 1456 nm","TUMURTAI VOR-DME","https://flightplandatabase.com/plan/1203154"
"25","•","POLHO","FIX","G218 (AWY-LO)","35,000 / 10,668","44.78333 / 113.25000","176  / 1632 nm","","https://flightplandatabase.com/plan/1203154"
"26","•","MENOR","FIX","G218 (AWY-LO)","35,000 / 10,668","46.49727 / 114.03159","108  / 1740 nm","","https://flightplandatabase.com/plan/1203154"
"27","•","DORUT","FIX","G218 (AWY-LO)","35,000 / 10,668","48.19919 / 114.86087","107  / 1848 nm","","https://flightplandatabase.com/plan/1203154"
"28","•","4900N11500E","LATLON","-","35,000 / 10,668","49.00000 / 115.00000","48  / 1896 nm","","https://flightplandatabase.com/plan/1203154"
"29","•","SULOK","FIX","-","35,000 / 10,668","49.90000 / 115.75000","61  / 1958 nm","","https://flightplandatabase.com/plan/1203154"
"30","•","NAREM","FIX","B161 (AWY-LO)","35,000 / 10,668","50.38389 / 116.45056","39  / 1998 nm","","https://flightplandatabase.com/plan/1203154"
"31","•","DIBOR","FIX","G496 (AWY-LO)","35,000 / 10,668","51.60889 / 117.59556","85  / 2083 nm","","https://flightplandatabase.com/plan/1203154"
"32","•","SOVIT","FIX","G496 (AWY-LO)","35,000 / 10,668","52.80500 / 118.78833","84  / 2167 nm","","https://flightplandatabase.com/plan/1203154"
"33","•","KU","NDB","G496 (AWY-LO)","35,000 / 10,668","53.72556 / 119.76583","65  / 2233 nm","MOGOCHA NDB","https://flightplandatabase.com/plan/1203154"
"34","•","SUDIN","FIX","G495 (AWY-LO)","35,000 / 10,668","55.82500 / 121.98667","147  / 2380 nm","","https://flightplandatabase.com/plan/1203154"
"35","•","MAKIN","FIX","G495 (AWY-LO)","35,000 / 10,668","56.81389 / 123.13250","70  / 2451 nm","","https://flightplandatabase.com/plan/1203154"
"36","•","LAGOR","FIX","G495 (AWY-LO)","35,000 / 10,668","57.48389 / 123.95083","48  / 2499 nm","","https://flightplandatabase.com/plan/1203154"
"37","•","DOKUR","FIX","G495 (AWY-LO)","35,000 / 10,668","58.23389 / 124.91111","54  / 2554 nm","","https://flightplandatabase.com/plan/1203154"
"38","•","UEEA","APT","G495 (AWY-LO)","35,000 / 10,668","58.60430 / 125.40964","27  / 2581 nm","Aldan","https://flightplandatabase.com/plan/1203154"
"39","•","RUKAN","FIX","G495 (AWY-LO)","35,000 / 10,668","60.33500 / 127.42500","120  / 2702 nm","","https://flightplandatabase.com/plan/1203154"
"40","•","UEEE","APT","G495 (AWY-LO)","35,000 / 10,668","62.09325 / 129.77068","125  / 2827 nm","Yakutsk","https://flightplandatabase.com/plan/1203154"
"41","•","EDALO","FIX","G495 (AWY-LO)","35,000 / 10,668","65.27000 / 134.70333","231  / 3059 nm","","https://flightplandatabase.com/plan/1203154"
"42","•","SUKIN","FIX","G495 (AWY-LO)","35,000 / 10,668","68.67000 / 142.03667","266  / 3325 nm","","https://flightplandatabase.com/plan/1203154"
"43","•","UESO","APT","G495 (AWY-LO)","35,000 / 10,668","70.62455 / 147.89789","169  / 3495 nm","Chokurdah","https://flightplandatabase.com/plan/1203154"
"44","•","UTARO","FIX","G494 (AWY-LO)","35,000 / 10,668","71.95556 / 150.76306","97  / 3592 nm","","https://flightplandatabase.com/plan/1203154"
"45","•","TURDI","FIX","G494 (AWY-LO)","35,000 / 10,668","72.60556 / 152.46667","49  / 3642 nm","","https://flightplandatabase.com/plan/1203154"
"46","•","7300N15500E","LATLON","-","35,000 / 10,668","73.00000 / 155.00000","50  / 3693 nm","","https://flightplandatabase.com/plan/1203154"
"47","•","7300N16000E","LATLON","-","35,000 / 10,668","73.00000 / 160.00000","87  / 3780 nm","","https://flightplandatabase.com/plan/1203154"
"48","•","7300N16500E","LATLON","-","35,000 / 10,668","73.00000 / 165.00000","87  / 3868 nm","","https://flightplandatabase.com/plan/1203154"
"49","•","7300N17000E","LATLON","-","35,000 / 10,668","73.00000 / 170.00000","87  / 3956 nm","","https://flightplandatabase.com/plan/1203154"
"50","•","7300N17500E","LATLON","-","35,000 / 10,668","73.00000 / 175.00000","87  / 4044 nm","","https://flightplandatabase.com/plan/1203154"
"51","•","7300N18000W","LATLON","-","35,000 / 10,668","73.00000 / -180.00000","87  / 4132 nm","","https://flightplandatabase.com/plan/1203154"
"52","•","7300N17500W","LATLON","-","35,000 / 10,668","73.00000 / -175.00000","87  / 4219 nm","","https://flightplandatabase.com/plan/1203154"
"53","•","7300N17000W","LATLON","-","35,000 / 10,668","73.00000 / -170.00000","87  / 4307 nm","","https://flightplandatabase.com/plan/1203154"
"54","•","7300N16500W","LATLON","-","35,000 / 10,668","73.00000 / -165.00000","87  / 4395 nm","","https://flightplandatabase.com/plan/1203154"
"55","•","7200N16000W","LATLON","-","35,000 / 10,668","72.00000 / -160.00000","108  / 4503 nm","","https://flightplandatabase.com/plan/1203154"
"56","•","BRW","VOR","-","35,000 / 10,668","71.27342 / -156.78811","74  / 4578 nm","BARROW VOR-DME","https://flightplandatabase.com/plan/1203154"
"57","•","SCC","VOR","J507 (AWY-HI)","35,000 / 10,668","70.19919 / -148.41617","177  / 4756 nm","DEADHORSE VOR-DME","https://flightplandatabase.com/plan/1203154"
"58","•","PVQ","VOR","-","35,000 / 10,668","70.22267 / -148.41619","1  / 4757 nm","","https://flightplandatabase.com/plan/1203154"
"59","•","BTI","VOR","G16 (AWY-LO)","35,000 / 10,668","70.13066 / -143.64390","97  / 4855 nm","","https://flightplandatabase.com/plan/1203154"
"60","•","ADREW","FIX","-","35,000 / 10,668","69.16969 / -141.00254","79  / 4934 nm","","https://flightplandatabase.com/plan/1203154"
"61","•","YEV","VOR","NCA23 (AWY-HI)","35,000 / 10,668","68.30806 / -133.54825","170  / 5105 nm","INUVIK VOR-DME","https://flightplandatabase.com/plan/1203154"
"62","•","BIBOX","FIX","5E35 (AWY-HI)","35,000 / 10,668","66.01556 / -124.00000","261  / 5366 nm","","https://flightplandatabase.com/plan/1203154"
"63","•","YZF","VOR","5E35 (AWY-HI)","35,000 / 10,668","62.46500 / -114.43667","327  / 5694 nm","YELLOWKNIFE VORTAC","https://flightplandatabase.com/plan/1203154"
"64","•","ITNOT","FIX","V21 (AWY-LO)","35,000 / 10,668","61.72194 / -113.64083","49  / 5744 nm","","https://flightplandatabase.com/plan/1203154"
"65","•","YSM","VOR","V21 (AWY-LO)","35,000 / 10,668","60.02008 / -111.96936","113  / 5857 nm","FORT SMITH VOR-DME","https://flightplandatabase.com/plan/1203154"
"66","•","PY","NDB","V112 (AWY-LO)","35,000 / 10,668","58.76156 / -111.10828","80  / 5937 nm","FORT CHIPEWYAN NDB","https://flightplandatabase.com/plan/1203154"
"67","•","YKJ","VOR","BR19 (AWY-LO)","35,000 / 10,668","57.16722 / -105.84111","193  / 6130 nm","KEY LAKE VOR-DME","https://flightplandatabase.com/plan/1203154"
"68","•","YVC","VOR","AR2 (AWY-LO)","35,000 / 10,668","55.15828 / -105.26681","122  / 6252 nm","LA RONGE VOR-DME","https://flightplandatabase.com/plan/1203154"
"69","•","YPA","VOR","V303 (AWY-LO)","35,000 / 10,668","53.21642 / -105.66647","117  / 6370 nm","PRINCE ALBERT VOR-DME","https://flightplandatabase.com/plan/1203154"
"70","•","VLN","VOR","V356 (AWY-LO)","35,000 / 10,668","50.66700 / -104.89031","155  / 6525 nm","LUMSDEN VORTAC","https://flightplandatabase.com/plan/1203154"
"71","•","MOT61","FIX","J483 (AWY-HI)","35,000 / 10,668","48.99905 / -102.34071","140  / 6666 nm","","https://flightplandatabase.com/plan/1203154"
"72","•","MOT","VOR","J483 (AWY-HI)","35,000 / 10,668","48.26033 / -101.28706","60  / 6727 nm","MINOT VORTAC","https://flightplandatabase.com/plan/1203154"
"73","•","PABIC","FIX","V15 (AWY-LO)","35,000 / 10,668","48.05208 / -101.19842","13  / 6740 nm","","https://flightplandatabase.com/plan/1203154"
"74","•","HIDEL","FIX","V15 (AWY-LO)","35,000 / 10,668","48.02918 / -101.18872","1  / 6742 nm","","https://flightplandatabase.com/plan/1203154"
"75","•","TERTL","FIX","V15 (AWY-LO)","35,000 / 10,668","47.57122 / -100.99656","28  / 6770 nm","","https://flightplandatabase.com/plan/1203154"
"76","•","WASHR","FIX","V15 (AWY-LO)","35,000 / 10,668","47.30742 / -100.88764","16  / 6787 nm","","https://flightplandatabase.com/plan/1203154"
"77","•","WILTN","FIX","V15 (AWY-LO)","35,000 / 10,668","47.08281 / -100.79550","14  / 6801 nm","","https://flightplandatabase.com/plan/1203154"
"78","•","HANCO","FIX","V15 (AWY-LO)","35,000 / 10,668","46.92228 / -100.73025","10  / 6811 nm","","https://flightplandatabase.com/plan/1203154"
"79","•","BIS","VOR","V15 (AWY-LO)","35,000 / 10,668","46.76175 / -100.66542","10  / 6821 nm","BISMARCK VOR-DME","https://flightplandatabase.com/plan/1203154"
"80","•","MOFIT","FIX","V15 (AWY-LO)","35,000 / 10,668","46.55038 / -100.29134","19  / 6841 nm","","https://flightplandatabase.com/plan/1203154"
"81","•","WISEK","FIX","V15 (AWY-LO)","35,000 / 10,668","46.38037 / -99.99416","15  / 6857 nm","","https://flightplandatabase.com/plan/1203154"
"82","•","ABR","VOR","V15 (AWY-LO)","35,000 / 10,668","45.41736 / -98.36872","89  / 6946 nm","ABERDEEN VOR-DME","https://flightplandatabase.com/plan/1203154"
"83","•","FSD","VOR","J45 (AWY-HI)","35,000 / 10,668","43.64950 / -96.78114","126  / 7072 nm","SIOUX FALLS VORTAC","https://flightplandatabase.com/plan/1203154"
"84","•","CANTS","FIX","V15 (AWY-LO)","35,000 / 10,668","43.29873 / -96.68779","21  / 7093 nm","","https://flightplandatabase.com/plan/1203154"
"85","•","JILRO","FIX","V15 (AWY-LO)","35,000 / 10,668","43.21476 / -96.66509","5  / 7098 nm","","https://flightplandatabase.com/plan/1203154"
"86","•","ESTIS","FIX","V15 (AWY-LO)","35,000 / 10,668","42.82994 / -96.56378","23  / 7122 nm","","https://flightplandatabase.com/plan/1203154"
"87","•","SUX","DME","V15 (AWY-LO)","35,000 / 10,668","42.34452 / -96.32364","31  / 7153 nm","SIOUX CITY VORTAC","https://flightplandatabase.com/plan/1203154"
"88","•","BECOM","FIX","V159 (AWY-LO)","35,000 / 10,668","41.96353 / -96.13115","24  / 7177 nm","","https://flightplandatabase.com/plan/1203154"
"89","•","CANIO","FIX","V159 (AWY-LO)","35,000 / 10,668","41.64681 / -95.97302","20  / 7198 nm","","https://flightplandatabase.com/plan/1203154"
"90","•","OVR","VOR","V159 (AWY-LO)","35,000 / 10,668","41.16717 / -95.73686","30  / 7228 nm","OMAHA VORTAC","https://flightplandatabase.com/plan/1203154"
"91","•","AGENT","FIX","J41 (AWY-HI)","35,000 / 10,668","39.61080 / -94.90571","100  / 7329 nm","","https://flightplandatabase.com/plan/1203154"
"92","•","MCI","DME","J41 (AWY-HI)","35,000 / 10,668","39.28528 / -94.73706","21  / 7350 nm","KANSAS CITY VORTAC","https://flightplandatabase.com/plan/1203154"
"93","•","SCAWT","FIX","J41 (AWY-HI)","35,000 / 10,668","38.34489 / -94.04219","65  / 7416 nm","","https://flightplandatabase.com/plan/1203154"
"94","•","EUNIK","FIX","J41 (AWY-HI)","35,000 / 10,668","38.20412 / -93.94024","9  / 7425 nm","","https://flightplandatabase.com/plan/1203154"
"95","•","SGF","VOR","J41 (AWY-HI)","35,000 / 10,668","37.35594 / -93.33403","58  / 7484 nm","SPRINGFIELD VORTAC","https://flightplandatabase.com/plan/1203154"
"96","•","SPOKE","FIX","V71 (AWY-LO)","35,000 / 10,668","36.91695 / -93.28255","26  / 7510 nm","","https://flightplandatabase.com/plan/1203154"
"97","•","REEDS","FIX","V71 (AWY-LO)","35,000 / 10,668","36.78303 / -93.26695","8  / 7518 nm","","https://flightplandatabase.com/plan/1203154"
"98","•","RASON","FIX","V71 (AWY-LO)","35,000 / 10,668","36.56531 / -93.24171","13  / 7531 nm","","https://flightplandatabase.com/plan/1203154"
"99","•","HRO","VOR","V71 (AWY-LO)","35,000 / 10,668","36.31831 / -93.21328","14  / 7546 nm","HARRISON VOR-DME","https://flightplandatabase.com/plan/1203154"
"100","•","JASPE","FIX","V71 (AWY-LO)","35,000 / 10,668","36.09185 / -93.19387","13  / 7560 nm","","https://flightplandatabase.com/plan/1203154"
"101","•","HAAWK","FIX","V71 (AWY-LO)","35,000 / 10,668","35.26738 / -93.12417","49  / 7610 nm","","https://flightplandatabase.com/plan/1203154"
"102","•","OLLAS","FIX","V71 (AWY-LO)","35,000 / 10,668","35.00053 / -93.11275","16  / 7626 nm","","https://flightplandatabase.com/plan/1203154"
"103","•","GATZY","FIX","V71 (AWY-LO)","35,000 / 10,668","34.78121 / -93.10341","13  / 7639 nm","","https://flightplandatabase.com/plan/1203154"
"104","•","HOT","VOR","V71 (AWY-LO)","35,000 / 10,668","34.47858 / -93.09061","18  / 7657 nm","HOT SPRINGS VOR-DME","https://flightplandatabase.com/plan/1203154"
"105","•","CANEY","FIX","V71 (AWY-LO)","35,000 / 10,668","34.19299 / -93.00869","17  / 7675 nm","","https://flightplandatabase.com/plan/1203154"
"106","•","SPARO","FIX","V71 (AWY-LO)","35,000 / 10,668","33.91094 / -92.92833","17  / 7692 nm","","https://flightplandatabase.com/plan/1203154"
"107","•","ELD","DME","V71 (AWY-LO)","35,000 / 10,668","33.25615 / -92.74395","40  / 7732 nm","EL DORADO VORTAC","https://flightplandatabase.com/plan/1203154"
"108","•","FLESH","FIX","V71 (AWY-LO)","35,000 / 10,668","32.72514 / -92.23386","40  / 7773 nm","","https://flightplandatabase.com/plan/1203154"
"109","•","MLU","VOR","V71 (AWY-LO)","35,000 / 10,668","32.51689 / -92.03600","16  / 7789 nm","MONROE VORTAC","https://flightplandatabase.com/plan/1203154"
"110","•","BASKS","FIX","V71 (AWY-LO)","35,000 / 10,668","32.19690 / -91.77176","23  / 7813 nm","","https://flightplandatabase.com/plan/1203154"
"111","•","CADRO","FIX","V71 (AWY-LO)","35,000 / 10,668","31.82406 / -91.46674","27  / 7840 nm","","https://flightplandatabase.com/plan/1203154"
"112","•","HEZ","VOR","V71 (AWY-LO)","35,000 / 10,668","31.61819 / -91.29964","15  / 7855 nm","NATCHEZ VOR-DME","https://flightplandatabase.com/plan/1203154"
"113","•","WILIN","FIX","V71 (AWY-LO)","35,000 / 10,668","31.12386 / -91.29719","29  / 7885 nm","","https://flightplandatabase.com/plan/1203154"
"114","•","WRACK","FIX","V71 (AWY-LO)","35,000 / 10,668","30.89109 / -91.29597","13  / 7899 nm","","https://flightplandatabase.com/plan/1203154"
"115","•","CAZZZ","FIX","V566 (AWY-LO)","35,000 / 10,668","30.65268 / -91.08449","18  / 7917 nm","","https://flightplandatabase.com/plan/1203154"
"116","•","DILLS","FIX","V566 (AWY-LO)","35,000 / 10,668","30.50333 / -90.95268","11  / 7928 nm","","https://flightplandatabase.com/plan/1203154"
"117","•","VEILS","FIX","V566 (AWY-LO)","35,000 / 10,668","30.30047 / -90.77461","15  / 7943 nm","","https://flightplandatabase.com/plan/1203154"
"118","•","RQR","VOR","V114 (AWY-LO)","35,000 / 10,668","30.08750 / -90.58864","16  / 7959 nm","RESERVE VOR-DME","https://flightplandatabase.com/plan/1203154"
"119","•","SAFES","FIX","-","35,000 / 10,668","29.81758 / -90.14983","28  / 7987 nm","","https://flightplandatabase.com/plan/1203154"
"120","•","GOING","FIX","V543 (AWY-LO)","35,000 / 10,668","29.52538 / -90.12892","17  / 8005 nm","","https://flightplandatabase.com/plan/1203154"
"121","•","PEPSI","FIX","V543 (AWY-LO)","35,000 / 10,668","29.34194 / -90.11585","11  / 8016 nm","","https://flightplandatabase.com/plan/1203154"
"122","•","LEV","VOR","V543 (AWY-LO)","35,000 / 10,668","29.17522 / -90.10403","10  / 8026 nm","LEEVILLE VORTAC","https://flightplandatabase.com/plan/1203154"
"123","•","BUFFI","FIX","A626 (AWY-LO)","35,000 / 10,668","28.25000 / -89.79919","57  / 8084 nm","","https://flightplandatabase.com/plan/1203154"
"124","•","SWORD","FIX","A626 (AWY-LO)","35,000 / 10,668","24.50000 / -88.61667","234  / 8318 nm","","https://flightplandatabase.com/plan/1203154"
"125","•","CEDRO","FIX","A626 (AWY-LO)","35,000 / 10,668","23.28023 / -88.08794","78  / 8397 nm","","https://flightplandatabase.com/plan/1203154"
"126","•","PARRA","FIX","A626 (AWY-LO)","35,000 / 10,668","22.24667 / -87.64583","66  / 8463 nm","","https://flightplandatabase.com/plan/1203154"
"127","•","OTUNI","FIX","A626 (AWY-LO)","35,000 / 10,668","21.93389 / -87.51639","20  / 8484 nm","","https://flightplandatabase.com/plan/1203154"
"128","•","AMITA","FIX","A626 (AWY-LO)","35,000 / 10,668","21.52421 / -87.34473","26  / 8510 nm","","https://flightplandatabase.com/plan/1203154"
"129","•","CZM","VOR","A626 (AWY-LO)","35,000 / 10,668","20.52206 / -86.92928","64  / 8574 nm","COZUMEL VOR-DME","https://flightplandatabase.com/plan/1203154"
"130","•","SIGMA","FIX","A766 (AWY-LO)","35,000 / 10,668","19.61639 / -86.36750","62  / 8637 nm","","https://flightplandatabase.com/plan/1203154"
"131","•","KELVO","FIX","A766 (AWY-LO)","35,000 / 10,668","18.98833 / -85.98500","43  / 8681 nm","","https://flightplandatabase.com/plan/1203154"
"132","•","IRGOL","FIX","A766 (AWY-LO)","35,000 / 10,668","18.27000 / -85.55167","49  / 8731 nm","","https://flightplandatabase.com/plan/1203154"
"133","•","MELDA","FIX","A766 (AWY-LO)","35,000 / 10,668","17.73500 / -85.23167","36  / 8768 nm","","https://flightplandatabase.com/plan/1203154"
"134","•","ILONA","FIX","A766 (AWY-LO)","35,000 / 10,668","17.04000 / -84.81833","47  / 8816 nm","","https://flightplandatabase.com/plan/1203154"
"135","•","CORAL","FIX","A766 (AWY-LO)","35,000 / 10,668","16.71583 / -84.62806","22  / 8838 nm","","https://flightplandatabase.com/plan/1203154"
"136","•","LERIK","FIX","A766 (AWY-LO)","35,000 / 10,668","16.34028 / -84.40778","25  / 8864 nm","","https://flightplandatabase.com/plan/1203154"
"137","•","PLP","VOR","A766 (AWY-LO)","35,000 / 10,668","15.25944 / -83.77861","74  / 8938 nm","","https://flightplandatabase.com/plan/1203154"
"138","•","PZA","VOR","R899 (AWY-LO)","35,000 / 10,668","14.04522 / -83.38828","76  / 9015 nm","PUERTO CABEZAS VOR","https://flightplandatabase.com/plan/1203154"
"139","•","BLU","VOR","B767 (AWY-LO)","35,000 / 10,668","11.99451 / -83.77262","125  / 9140 nm","BLUEFIELDS VOR-DME","https://flightplandatabase.com/plan/1203154"
"140","•","RADON","FIX","B767 (AWY-LO)","35,000 / 10,668","10.69083 / -84.07250","80  / 9220 nm","","https://flightplandatabase.com/plan/1203154"
"141","•","TIO","VOR","B767 (AWY-LO)","35,000 / 10,668","9.98367 / -84.23617","43  / 9264 nm","EL COCO VOR-DME","https://flightplandatabase.com/plan/1203154"
"142","•","PAR","NDB","B767 (AWY-LO)","35,000 / 10,668","9.51750 / -84.31694","28  / 9292 nm","PARRITA NDB","https://flightplandatabase.com/plan/1203154"
"143","•","LESIR","FIX","UM659 (AWY-HI)","35,000 / 10,668","5.89611 / -82.91667","232  / 9525 nm","","https://flightplandatabase.com/plan/1203154"
"144","•","OGLUT","FIX","UM659 (AWY-HI)","35,000 / 10,668","4.52833 / -82.39639","87  / 9613 nm","","https://flightplandatabase.com/plan/1203154"
"145","•","ANRAX","FIX","UM659 (AWY-HI)","35,000 / 10,668","1.41667 / -81.21667","199  / 9813 nm","","https://flightplandatabase.com/plan/1203154"
"146","•","GYV","VOR","UM659 (AWY-HI)","35,000 / 10,668","-2.12833 / -79.86694","227  / 10040 nm","GUAYAQUIL VOR-DME","https://flightplandatabase.com/plan/1203154"
"147","•","MHV","VOR","G437 (AWY-LO)","35,000 / 10,668","-3.29500 / -79.94417","70  / 10111 nm","MACHALA VOR-DME","https://flightplandatabase.com/plan/1203154"
"148","•","PADOX","FIX","G437 (AWY-LO)","35,000 / 10,668","-4.83333 / -79.38333","98  / 10209 nm","","https://flightplandatabase.com/plan/1203154"
"149","•","MAR","NDB","UG437 (AWY-HI)","35,000 / 10,668","-7.14000 / -78.49056","148  / 10357 nm","CAJAMARCA NDB","https://flightplandatabase.com/plan/1203154"
"150","•","VATES","FIX","V6 (AWY-LO)","35,000 / 10,668","-7.70333 / -78.36556","34  / 10392 nm","","https://flightplandatabase.com/plan/1203154"
"151","•","SLS","VOR","V6 (AWY-LO)","11,000 / 3,353","-11.28763 / -77.56250","220  / 10612 nm","SALINAS VOR-DME","https://flightplandatabase.com/plan/1203154"
"152","O","SPJC","APT","-","0 / 0","-12.02189 / -77.11432","51  / 10664 nm","JORGE CHAVEZ INTL","https://flightplandatabase.com/plan/1203154"
"153","O","SPJC","APT","-","0 / 0","-12.02190 / -77.11430","- / 0 nm","Lima / Jorge Chavez Intl.","https://flightplandatabase.com/plan/1398425"
"154","•","KALAR","FIX","-","18,400 / 5,608","-11.24580 / -77.49690","51  / 51 nm","","https://flightplandatabase.com/plan/1398425"
"155","•","ATATU","FIX","UL308 (AWY-HI)","35,000 / 10,668","-10.19690 / -78.01060","69  / 121 nm","","https://flightplandatabase.com/plan/1398425"
"156","•","ISREN","FIX","UL308 (AWY-HI)","35,000 / 10,668","-9.70333 / -78.67670","49  / 170 nm","","https://flightplandatabase.com/plan/1398425"
"157","•","VUGAL","FIX","UM542 (AWY-HI)","35,000 / 10,668","-9.32353 / -78.87010","25  / 196 nm","","https://flightplandatabase.com/plan/1398425"
"158","•","MIPAS","FIX","UM542 (AWY-HI)","35,000 / 10,668","-8.24244 / -79.41830","72  / 269 nm","","https://flightplandatabase.com/plan/1398425"
"159","•","DAKAP","FIX","UM542 (AWY-HI)","35,000 / 10,668","-6.86592 / -80.11130","92  / 361 nm","","https://flightplandatabase.com/plan/1398425"
"160","•","TAL","VOR","UM542 (AWY-HI)","35,000 / 10,668","-4.58056 / -81.25250","153  / 514 nm","TALARA","https://flightplandatabase.com/plan/1398425"
"161","•","ARNEL","FIX","UM542 (AWY-HI)","35,000 / 10,668","-3.40000 / -81.58330","73  / 588 nm","","https://flightplandatabase.com/plan/1398425"
"162","•","ATENO","FIX","UL203 (AWY-HI)","35,000 / 10,668","-2.05139 / -81.86940","82  / 671 nm","","https://flightplandatabase.com/plan/1398425"
"163","•","LIXAS","FIX","UL203 (AWY-HI)","35,000 / 10,668","1.41667 / -82.93670","217  / 889 nm","","https://flightplandatabase.com/plan/1398425"
"164","•","RADIM","FIX","UZ512 (AWY-HI)","35,000 / 10,668","5.82167 / -84.14670","274  / 1163 nm","","https://flightplandatabase.com/plan/1398425"
"165","•","TIGIR","FIX","UZ512 (AWY-HI)","35,000 / 10,668","8.47025 / -84.93480","165  / 1329 nm","","https://flightplandatabase.com/plan/1398425"
"166","•","SELAK","FIX","UZ512 (AWY-HI)","35,000 / 10,668","9.43328 / -85.21110","60  / 1389 nm","","https://flightplandatabase.com/plan/1398425"
"167","•","TONIO","FIX","UZ512 (AWY-HI)","35,000 / 10,668","10.19170 / -85.42990","47  / 1436 nm","","https://flightplandatabase.com/plan/1398425"
"168","•","LIB","VOR","UZ512 (AWY-HI)","35,000 / 10,668","10.59420 / -85.54640","25  / 1461 nm","LIBERIA","https://flightplandatabase.com/plan/1398425"
"169","•","LINAS","FIX","UM328 (AWY-HI)","35,000 / 10,668","11.05960 / -85.73680","30  / 1491 nm","","https://flightplandatabase.com/plan/1398425"
"170","•","IMOLA","FIX","UM328 (AWY-HI)","35,000 / 10,668","11.21000 / -85.79610","9  / 1501 nm","","https://flightplandatabase.com/plan/1398425"
"171","•","MGA","DME","UM328 (AWY-HI)","35,000 / 10,668","12.13970 / -86.17420","60  / 1561 nm","MANAGUA VOR-DME","https://flightplandatabase.com/plan/1398425"
