pathID,coordinates
1000302,"[ -30.00000,47.00000 ]"
1000302,"[ -30.00000,46.00000 ]"
1000302,"[ -30.00000,45.00000 ]"
1000302,"[ -30.00000,44.00000 ]"
1000302,"[ -30.00000,43.00000 ]"
1000302,"[ -30.00000,42.00000 ]"
1000302,"[ -30.00000,41.00000 ]"
1000302,"[ -30.00000,40.19694 ]"
1000302,"[ -31.13140,39.45534 ]"
100078,"[ 121.23282,25.07773 ]"
100078,"[ 123.00000,25.90556 ]"
100078,"[ 124.00000,26.65861 ]"
100078,"[ 124.99827,27.39776 ]"
100078,"[ 127.96575,29.52701 ]"
100078,"[ 129.91583,30.84467 ]"
100078,"[ 132.39624,32.12519 ]"
100078,"[ 133.40956,32.65369 ]"
100078,"[ 134.23425,33.06203 ]"
100078,"[ 134.99722,33.24878 ]"
100078,"[ 135.44150,33.36450 ]"
100078,"[ 135.79450,33.44775 ]"
100078,"[ 136.70648,33.68941 ]"
100078,"[ 137.92017,33.99861 ]"
100078,"[ 138.37891,34.22225 ]"
100078,"[ 139.78855,35.54825 ]"
100079,"[ 121.23282,25.07773 ]"
100079,"[ 132.39624,32.12519 ]"
100079,"[ -111.51889,62.59472 ]"
100079,"[ -115.26375,36.17153 ]"
100079,"[ 139.78855,35.54825 ]"
1001338,"[ -118.40892,33.94313 ]"
1001338,"[ -119.64145,35.25590 ]"
1001338,"[ -119.97861,35.64697 ]"
1001338,"[ -122.22358,37.72592 ]"
1001338,"[ -125.83452,37.83325 ]"
1001338,"[ -127.00000,37.50639 ]"
1001338,"[ -130.00000,38.00000 ]"
1001338,"[ -134.00000,39.58333 ]"
1001338,"[ -135.00000,40.00000 ]"
1001338,"[ -140.00000,42.00000 ]"
1001338,"[ -145.00000,44.00000 ]"
1001338,"[ -150.00000,45.00000 ]"
1001338,"[ -155.00000,46.00000 ]"
1001338,"[ -160.00000,47.00000 ]"
1001338,"[ -165.00000,48.00000 ]"
1001338,"[ -170.00000,48.00000 ]"
1001338,"[ -175.00000,48.00000 ]"
1001338,"[ -180.00000,48.00000 ]"
1001338,"[ 175.00000,48.00000 ]"
1001338,"[ 170.00000,48.00000 ]"
1001338,"[ 168.78311,48.67567 ]"
1001338,"[ 162.31000,46.41500 ]"
1001338,"[ 156.04169,43.20131 ]"
1001338,"[ 150.47736,39.62815 ]"
1001338,"[ 146.91605,38.25484 ]"
1001338,"[ 143.99636,37.00321 ]"
1001338,"[ 140.26299,35.78359 ]"
1001338,"[ 139.78855,35.54825 ]"
1001594,"[ -118.40892,33.94313 ]"
1001594,"[ -119.64145,35.25590 ]"
1001594,"[ -122.22358,37.72592 ]"
1001594,"[ -125.83452,37.83325 ]"
1001594,"[ -127.00000,37.50639 ]"
1001594,"[ -130.00000,38.00000 ]"
1001594,"[ -134.00000,39.58333 ]"
1001594,"[ -135.00000,40.00000 ]"
1001594,"[ -140.00000,42.00000 ]"
1001594,"[ -145.00000,44.00000 ]"
1001594,"[ -150.00000,45.00000 ]"
1001594,"[ -155.00000,46.00000 ]"
1001594,"[ -160.00000,47.00000 ]"
1001594,"[ -165.00000,48.00000 ]"
1001594,"[ -170.00000,48.00000 ]"
1001594,"[ -175.00000,48.00000 ]"
1001594,"[ -180.00000,48.00000 ]"
1001594,"[ 175.00000,48.00000 ]"
1001594,"[ 170.00000,48.00000 ]"
1001594,"[ 168.78311,48.67567 ]"
1001594,"[ 162.31000,46.41500 ]"
1001594,"[ 156.04169,43.20131 ]"
1001594,"[ 150.47736,39.62815 ]"
1001594,"[ 146.91605,38.25484 ]"
1001594,"[ 143.99636,37.00321 ]"
1001594,"[ 140.26299,35.78359 ]"
1001594,"[ 139.78855,35.54825 ]"
1002334,"[ 139.78855,35.54825 ]"
1002334,"[ 138.37891,34.22225 ]"
1002334,"[ 137.92017,33.99861 ]"
1002334,"[ 136.70648,33.68941 ]"
1002334,"[ 135.79450,33.44775 ]"
1002334,"[ 135.44150,33.36450 ]"
1002334,"[ 134.99722,33.24878 ]"
1002334,"[ 134.23425,33.06203 ]"
1002334,"[ 133.40956,32.65369 ]"
1002334,"[ 132.39624,32.12519 ]"
1002334,"[ 129.91583,30.84467 ]"
1002334,"[ 127.96575,29.52701 ]"
1002334,"[ 124.99827,27.39776 ]"
1002334,"[ 124.00000,26.65861 ]"
1002334,"[ 123.00000,25.90556 ]"
1002334,"[ 121.23282,25.07773 ]"
1002360,"[ 139.78855,35.54825 ]"
1002360,"[ 138.37891,34.22225 ]"
1002360,"[ 137.92017,33.99861 ]"
1002360,"[ 136.70648,33.68941 ]"
1002360,"[ 135.79450,33.44775 ]"
1002360,"[ 135.44150,33.36450 ]"
1002360,"[ 134.99722,33.24878 ]"
1002360,"[ 134.23425,33.06203 ]"
1002360,"[ 133.40956,32.65369 ]"
1002360,"[ 132.39624,32.12519 ]"
1002360,"[ 129.91583,30.84467 ]"
1002360,"[ 127.96575,29.52701 ]"
1002360,"[ 124.99827,27.39776 ]"
1002360,"[ 124.00000,26.65861 ]"
1002360,"[ 123.00000,25.90556 ]"
1002360,"[ 121.23282,25.07773 ]"
1002619,"[ 139.78855,35.54825 ]"
1002619,"[ 140.26299,35.78359 ]"
1002619,"[ 143.99636,37.00321 ]"
1002619,"[ 145.51869,38.33239 ]"
1002619,"[ 146.34559,39.02665 ]"
1002619,"[ 148.94239,41.08458 ]"
1002619,"[ 154.41667,44.85772 ]"
1002619,"[ 160.67550,48.28525 ]"
1002619,"[ 165.51350,50.40572 ]"
1002619,"[ 174.06029,52.72200 ]"
1002619,"[ 178.30264,54.22708 ]"
1002619,"[ -178.11922,54.64361 ]"
1002619,"[ -170.87803,55.17086 ]"
1002619,"[ -162.77424,55.26738 ]"
1002619,"[ -162.48891,55.30108 ]"
1002619,"[ -162.13655,55.30610 ]"
1002619,"[ -160.51844,55.31567 ]"
1002619,"[ -152.32458,57.77481 ]"
1002619,"[ -144.00174,56.19442 ]"
1002619,"[ -136.00160,53.99959 ]"
1002619,"[ -133.80500,53.62167 ]"
1002619,"[ -131.80708,53.25217 ]"
1002619,"[ -127.36519,50.68425 ]"
1002619,"[ -126.98108,50.54153 ]"
1002619,"[ -126.75619,50.45700 ]"
1002619,"[ -126.53106,50.37319 ]"
1002619,"[ -125.41389,49.94056 ]"
1002619,"[ -124.95806,49.75389 ]"
1002619,"[ -124.28861,49.51806 ]"
1002619,"[ -124.17861,49.47583 ]"
1002619,"[ -123.86500,49.35667 ]"
1002619,"[ -123.54347,49.22872 ]"
1002619,"[ -123.33667,49.14944 ]"
1002619,"[ -123.14908,49.07733 ]"
1002619,"[ -122.84213,49.00329 ]"
1002619,"[ -120.03825,48.26912 ]"
1002619,"[ -117.62689,47.56494 ]"
1002619,"[ -115.17136,45.83895 ]"
1002619,"[ -114.08425,45.02131 ]"
1002619,"[ -112.20933,44.08886 ]"
1002619,"[ -109.01533,41.59022 ]"
1002619,"[ -104.62097,39.69014 ]"
1002619,"[ -104.12489,39.26078 ]"
1002619,"[ -103.62139,38.81750 ]"
1002619,"[ -102.68753,38.19708 ]"
1002619,"[ -98.59347,33.98728 ]"
1002619,"[ -97.89324,33.44907 ]"
1002619,"[ -97.17942,32.88944 ]"
1002619,"[ -96.81327,32.57492 ]"
1002619,"[ -96.81062,32.56577 ]"
1002619,"[ -96.51471,31.52039 ]"
1002619,"[ -96.44070,31.32293 ]"
1002619,"[ -95.34119,29.98544 ]"
1002888,"[ 85.81596,20.24670 ]"
1002888,"[ 86.99510,20.64340 ]"
1002888,"[ 88.08644,21.63495 ]"
1002888,"[ 88.45288,22.64518 ]"
1002888,"[ 88.94167,22.79083 ]"
1002888,"[ 89.99167,23.06917 ]"
1002888,"[ 90.43722,23.23917 ]"
1002888,"[ 91.19009,23.43378 ]"
1002888,"[ 91.19139,23.54917 ]"
1002888,"[ 91.23056,23.78389 ]"
1002888,"[ 91.23973,23.88957 ]"
1002888,"[ 93.90437,24.76761 ]"
1002888,"[ 95.00000,25.00000 ]"
1002888,"[ 97.35617,25.38736 ]"
1002888,"[ 100.00000,26.00000 ]"
1002888,"[ 103.09500,26.26667 ]"
1002888,"[ 105.02667,26.46167 ]"
1002888,"[ 106.03000,27.04167 ]"
1002888,"[ 109.44833,28.57667 ]"
1002888,"[ 111.63333,29.35000 ]"
1002888,"[ 114.20500,30.78500 ]"
1002888,"[ 115.88167,31.32333 ]"
1002888,"[ 117.30167,31.78000 ]"
1002888,"[ 118.60500,31.71833 ]"
1002888,"[ 119.04333,31.63667 ]"
1002888,"[ 119.67667,31.62000 ]"
1002888,"[ 120.33333,31.58333 ]"
1002888,"[ 121.33000,31.28667 ]"
1002888,"[ 121.84333,31.36833 ]"
1002888,"[ 122.36667,31.62500 ]"
1002888,"[ 122.77500,31.67833 ]"
1002888,"[ 123.49167,31.77333 ]"
1002888,"[ 125.00000,33.00000 ]"
1002888,"[ 126.62417,33.38472 ]"
1002888,"[ 127.33139,33.47111 ]"
1002888,"[ 128.31583,33.58417 ]"
1002888,"[ 129.28081,33.69213 ]"
1002888,"[ 129.77685,33.74751 ]"
1002888,"[ 130.38963,33.67621 ]"
1002888,"[ 130.87091,33.78821 ]"
1002888,"[ 131.00817,33.81856 ]"
1002888,"[ 131.28085,33.87095 ]"
1002888,"[ 132.14727,34.07946 ]"
1002888,"[ 132.55553,34.20938 ]"
1002888,"[ 132.88383,34.31326 ]"
1002888,"[ 133.17797,34.40714 ]"
1002888,"[ 133.38365,34.47153 ]"
1002888,"[ 134.01513,34.67138 ]"
1002888,"[ 134.21509,34.70990 ]"
1002888,"[ 134.45007,34.75490 ]"
1002888,"[ 134.65114,34.78703 ]"
1002888,"[ 134.99554,34.85850 ]"
1002888,"[ 135.38248,34.93295 ]"
1002888,"[ 135.82600,35.01705 ]"
1002888,"[ 136.25486,35.11808 ]"
1002888,"[ 136.48348,35.16711 ]"
1002888,"[ 136.91493,35.26527 ]"
1002888,"[ 136.91636,35.25940 ]"
1002888,"[ 137.25819,35.38943 ]"
1002888,"[ 137.46308,35.46710 ]"
1002888,"[ 137.81102,35.59929 ]"
1002888,"[ 139.78855,35.54825 ]"
1003529,"[ 112.78686,-7.37983 ]"
1003529,"[ 113.34601,-6.25016 ]"
1003529,"[ 113.97689,-4.95602 ]"
1003529,"[ 114.73149,-3.43680 ]"
1003529,"[ 115.84373,-2.32315 ]"
1003529,"[ 116.94030,-1.24569 ]"
1003529,"[ 118.52262,-1.02499 ]"
1003529,"[ 118.98621,0.00880 ]"
1003529,"[ 120.73333,4.00000 ]"
1003529,"[ 121.88230,6.54350 ]"
1003529,"[ 122.05548,6.92469 ]"
1003529,"[ 122.26157,7.28924 ]"
1003529,"[ 123.29749,9.11062 ]"
1003529,"[ 123.56578,9.57900 ]"
1003529,"[ 123.74975,9.89932 ]"
1003529,"[ 123.98830,10.31357 ]"
1003529,"[ 124.30306,10.59311 ]"
1003529,"[ 124.50485,10.77188 ]"
1003529,"[ 124.61840,10.87233 ]"
1003529,"[ 124.70989,10.95319 ]"
1003529,"[ 125.02600,11.23200 ]"
1003529,"[ 125.14393,11.63405 ]"
1003529,"[ 125.36011,12.36784 ]"
1003529,"[ 126.00142,14.51864 ]"
1003529,"[ 127.17292,19.92733 ]"
1003529,"[ 127.41667,21.00000 ]"
1003529,"[ 129.08133,23.00436 ]"
1003529,"[ 130.12093,24.35565 ]"
1003529,"[ 131.24583,25.84058 ]"
1003529,"[ 133.13756,27.88061 ]"
1003529,"[ 133.81417,28.58389 ]"
1003529,"[ 135.34233,30.12542 ]"
1003529,"[ 136.65383,31.43197 ]"
1003529,"[ 138.16728,32.87600 ]"
1003529,"[ 139.49847,34.11903 ]"
1003529,"[ 139.78855,35.54825 ]"
1003531,"[ 112.78686,-7.37983 ]"
1003531,"[ 113.34601,-6.25016 ]"
1003531,"[ 113.97689,-4.95602 ]"
1003531,"[ 114.73149,-3.43680 ]"
1003531,"[ 115.84373,-2.32315 ]"
1003531,"[ 116.94030,-1.24569 ]"
1003531,"[ 118.52262,-1.02499 ]"
1003531,"[ 118.98621,0.00880 ]"
1003531,"[ 120.73333,4.00000 ]"
1003531,"[ 121.88230,6.54350 ]"
1003531,"[ 122.05548,6.92469 ]"
1003531,"[ 122.26157,7.28924 ]"
1003531,"[ 123.29749,9.11062 ]"
1003531,"[ 123.56578,9.57900 ]"
1003531,"[ 123.74975,9.89932 ]"
1003531,"[ 123.98830,10.31357 ]"
1003531,"[ 124.30306,10.59311 ]"
1003531,"[ 124.50485,10.77188 ]"
1003531,"[ 124.61840,10.87233 ]"
1003531,"[ 124.70989,10.95319 ]"
1003531,"[ 125.02600,11.23200 ]"
1003531,"[ 125.14393,11.63405 ]"
1003531,"[ 125.36011,12.36784 ]"
1003531,"[ 126.00142,14.51864 ]"
1003531,"[ 127.17292,19.92733 ]"
1003531,"[ 127.41667,21.00000 ]"
1003531,"[ 129.08133,23.00436 ]"
1003531,"[ 130.12093,24.35565 ]"
1003531,"[ 131.24583,25.84058 ]"
1003531,"[ 133.13756,27.88061 ]"
1003531,"[ 133.81417,28.58389 ]"
1003531,"[ 135.34233,30.12542 ]"
1003531,"[ 136.65383,31.43197 ]"
1003531,"[ 138.16728,32.87600 ]"
1003531,"[ 139.49847,34.11903 ]"
1003531,"[ 139.78855,35.54825 ]"
1003576,"[ -77.46086,38.94771 ]"
1003576,"[ -77.97411,40.48185 ]"
1003576,"[ -77.99272,40.91625 ]"
1003576,"[ -78.14275,41.21494 ]"
1003576,"[ -78.44679,41.58087 ]"
1003576,"[ -78.61933,41.78639 ]"
1003576,"[ -78.81807,41.94654 ]"
1003576,"[ -79.12131,42.18861 ]"
1003576,"[ -79.27408,42.49056 ]"
1003576,"[ -79.30777,42.83222 ]"
1003576,"[ -79.32061,42.96366 ]"
1003576,"[ -79.32861,43.03917 ]"
1003576,"[ -79.35478,43.30278 ]"
1003576,"[ -79.41644,43.38278 ]"
1003576,"[ -79.63153,43.65822 ]"
1003576,"[ -79.79322,44.58181 ]"
1003576,"[ -80.57597,46.19006 ]"
1003576,"[ -80.79822,46.62914 ]"
1003576,"[ -86.63144,50.17908 ]"
1003576,"[ -90.00000,52.13889 ]"
1003576,"[ -97.82519,55.81100 ]"
1003576,"[ -102.37167,57.90667 ]"
1003576,"[ -105.83164,59.25511 ]"
1003576,"[ -110.00000,61.51500 ]"
1003576,"[ -116.72611,64.31556 ]"
1003576,"[ -125.00000,66.77472 ]"
1003576,"[ -135.00000,67.00250 ]"
1003576,"[ -141.00000,66.83667 ]"
1003576,"[ -145.27667,66.57427 ]"
1003576,"[ -145.21275,66.58003 ]"
1003576,"[ -151.56372,66.89319 ]"
1003576,"[ -157.85800,67.10675 ]"
1003576,"[ -161.53584,66.94508 ]"
1003576,"[ -162.03849,66.91618 ]"
1003576,"[ -162.53994,66.88569 ]"
1003576,"[ -168.97306,66.62000 ]"
1003576,"[ -170.32500,66.50167 ]"
1003576,"[ -172.50667,66.31000 ]"
1003576,"[ -179.28000,65.51639 ]"
1003576,"[ 177.74148,64.73495 ]"
1003576,"[ 173.61111,63.45167 ]"
1003576,"[ 171.59333,62.73500 ]"
1003576,"[ 166.01361,60.36583 ]"
1003576,"[ 164.59389,58.72250 ]"
1003576,"[ 163.72333,57.62583 ]"
1003576,"[ 162.68500,56.22333 ]"
1003576,"[ 161.27833,55.27500 ]"
1003576,"[ 159.80361,54.21333 ]"
1003576,"[ 158.76222,53.81583 ]"
1003576,"[ 157.53611,53.32583 ]"
1003576,"[ 156.26750,52.81639 ]"
1003576,"[ 155.91000,52.63333 ]"
1003576,"[ 150.00167,49.19333 ]"
1003576,"[ 146.75806,46.93333 ]"
1003576,"[ 144.28333,44.99167 ]"
1003576,"[ 143.39508,44.30528 ]"
1003576,"[ 143.07412,44.08623 ]"
1003576,"[ 142.97301,44.01910 ]"
1003576,"[ 142.45686,43.66728 ]"
1003576,"[ 142.03447,43.13903 ]"
1003576,"[ 141.68617,42.69990 ]"
1003576,"[ 141.52559,42.12874 ]"
1003576,"[ 141.47091,41.93293 ]"
1003576,"[ 141.15736,40.80891 ]"
1003576,"[ 140.87292,39.83271 ]"
1003576,"[ 140.45605,38.34573 ]"
1003576,"[ 140.03580,36.78267 ]"
1003576,"[ 139.78855,35.54825 ]"
1003786,"[ 139.78855,35.54825 ]"
1003786,"[ 139.69898,36.39121 ]"
1003786,"[ 139.20634,37.71875 ]"
1003786,"[ 139.11489,37.95829 ]"
1003786,"[ 138.94203,38.12100 ]"
1003786,"[ 138.57069,38.46923 ]"
1003786,"[ 137.74679,39.23611 ]"
1003786,"[ 137.44178,40.00268 ]"
1003786,"[ 136.78333,41.65000 ]"
1003786,"[ 136.65111,44.66694 ]"
1003786,"[ 136.33444,46.83361 ]"
1003786,"[ 136.04611,47.27194 ]"
1003786,"[ 135.18836,48.52804 ]"
1003786,"[ 134.46778,49.08361 ]"
1003786,"[ 134.18278,49.48861 ]"
1003786,"[ 132.98444,51.11694 ]"
1003786,"[ 130.95278,53.91028 ]"
1003786,"[ 129.86778,55.25056 ]"
1003786,"[ 125.40964,58.60430 ]"
1003786,"[ 123.77778,59.84222 ]"
1003786,"[ 120.53917,62.01722 ]"
1003786,"[ 121.28583,62.55722 ]"
1003786,"[ 121.78444,63.74389 ]"
1003786,"[ 118.27417,65.79917 ]"
1003786,"[ 112.47977,68.51609 ]"
1003786,"[ 108.19361,70.20583 ]"
1003786,"[ 102.49051,71.97806 ]"
1003786,"[ 89.74889,73.20083 ]"
1003786,"[ 80.37910,73.51781 ]"
1003786,"[ 75.00000,74.00000 ]"
1003786,"[ 70.00000,75.00000 ]"
1003786,"[ 65.00000,75.00000 ]"
1003786,"[ 60.00000,75.00000 ]"
1003786,"[ 55.00000,75.00000 ]"
1003786,"[ 47.99556,75.87361 ]"
1003786,"[ 32.08333,72.50000 ]"
1003786,"[ 30.00000,71.98917 ]"
1003786,"[ 27.59750,71.33333 ]"
1003786,"[ 23.37182,69.97758 ]"
1003786,"[ 23.36543,69.97735 ]"
1003821,"[ 139.78855,35.54825 ]"
1003821,"[ 139.69898,36.39121 ]"
1003821,"[ 139.20634,37.71875 ]"
1003821,"[ 139.11489,37.95829 ]"
1003821,"[ 138.94203,38.12100 ]"
1003821,"[ 138.57069,38.46923 ]"
1003821,"[ 137.74679,39.23611 ]"
1003821,"[ 137.44178,40.00268 ]"
1003821,"[ 136.78333,41.65000 ]"
1003821,"[ 135.45667,42.68333 ]"
1003821,"[ 135.34111,43.36528 ]"
1003821,"[ 134.88500,45.90222 ]"
1003821,"[ 134.98944,46.81861 ]"
1003821,"[ 134.64667,47.86833 ]"
1003821,"[ 134.10278,48.64694 ]"
1003821,"[ 132.91778,48.83361 ]"
1003821,"[ 132.18444,50.03361 ]"
1003821,"[ 130.00111,51.33361 ]"
1003821,"[ 128.41667,52.16667 ]"
1003821,"[ 127.43944,52.68194 ]"
1003821,"[ 125.79611,53.47056 ]"
1003821,"[ 126.36778,54.93889 ]"
1003821,"[ 125.00000,56.00000 ]"
1003821,"[ 124.87944,56.90833 ]"
1003821,"[ 120.80833,58.65000 ]"
1003821,"[ 119.60667,59.11167 ]"
1003821,"[ 117.41917,59.89222 ]"
1003821,"[ 115.97889,60.36056 ]"
1003821,"[ 114.82374,60.72285 ]"
1003821,"[ 112.34167,61.88333 ]"
1003821,"[ 109.61667,63.00167 ]"
1003821,"[ 107.77833,63.68833 ]"
1003821,"[ 106.99194,63.96917 ]"
1003821,"[ 102.20000,65.12333 ]"
1003821,"[ 95.19167,66.40667 ]"
1003821,"[ 89.29667,67.17333 ]"
1003821,"[ 86.63750,67.43583 ]"
1003821,"[ 80.90194,68.02750 ]"
1003821,"[ 73.59667,68.46667 ]"
1003821,"[ 67.85139,68.48722 ]"
1003821,"[ 59.29917,68.14889 ]"
1003821,"[ 53.12500,67.64000 ]"
1003821,"[ 46.48389,66.81361 ]"
1003821,"[ 45.42389,66.65028 ]"
1003821,"[ 40.13056,65.68333 ]"
1003821,"[ 35.91556,64.60333 ]"
1003821,"[ 34.96889,64.33000 ]"
1003821,"[ 34.37889,64.15500 ]"
1003821,"[ 33.91722,64.01500 ]"
1003821,"[ 31.26500,63.14667 ]"
1003821,"[ 29.61052,62.66050 ]"
1003821,"[ 22.11556,60.81194 ]"
1003821,"[ 19.91443,60.14099 ]"
1003821,"[ 19.46222,59.93306 ]"
1003821,"[ 18.45497,59.56919 ]"
1003821,"[ 17.25811,59.07278 ]"
1003821,"[ 16.52025,58.60914 ]"
1003821,"[ 15.56961,57.98664 ]"
1003821,"[ 15.06806,57.64631 ]"
1003821,"[ 14.20367,57.03961 ]"
1003821,"[ 13.81528,56.75839 ]"
1003821,"[ 12.12918,55.58530 ]"
1003861,"[ 139.78855,35.54825 ]"
1003861,"[ 139.37626,35.57977 ]"
1003861,"[ 137.50088,35.53126 ]"
1003861,"[ 135.13702,35.48069 ]"
1003861,"[ 133.85479,35.51422 ]"
1003861,"[ 133.09391,35.53112 ]"
1003861,"[ 132.69324,35.58102 ]"
1003861,"[ 130.72361,35.82389 ]"
1003861,"[ 129.47433,35.97747 ]"
1003861,"[ 128.83778,36.34472 ]"
1003861,"[ 128.32539,36.63203 ]"
1003861,"[ 128.16444,36.72972 ]"
1003861,"[ 127.96444,36.83611 ]"
1003861,"[ 127.64111,37.01111 ]"
1003861,"[ 127.44111,37.12611 ]"
1003861,"[ 126.99139,37.21333 ]"
